n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
41,0,local1,10000000,1,0.59005337000000002,5.9005337000000003e-08,59.005337000000004,2029625,0.20296249999999999,-31.069639379665972,0.2172230251313616
41,0,uniform,10000000,1,25.205289385,2.5205289385000002e-06,2520.5289385000001,726,7.2600000000000003e-05,-28.019581248307279,0.2172230251313616
41,1,local1,10000000,1,0.56364472499999996,5.6364472499999994e-08,56.364472499999998,1797595,0.17975949999999999,-39.635545433589968,0.21297568958532664
41,1,uniform,10000000,1,25.210655858999999,2.5210655858999999e-06,2521.0655858999999,96,9.5999999999999996e-06,-32.16592443612511,0.21297568958532664
41,2,local1,10000000,1,0.60526688500000003,6.0526688500000005e-08,60.526688500000006,2201110,0.220111,-37.780600954170986,0.21801436496355858
41,2,uniform,10000000,1,25.206100537000001,2.5206100537000003e-06,2520.6100537000002,1050,0.000105,-34.142734977385096,0.21801436496355858
41,3,local1,10000000,1,0.59142574199999998,5.9142574199999996e-08,59.142574199999999,2012061,0.2012061,-33.880104674653708,0.22854621926559177
41,3,uniform,10000000,1,25.202354787000001,2.5202354787000001e-06,2520.2354786999999,624,6.2399999999999999e-05,-28.507670378371831,0.22854621926559177
41,4,local1,10000000,1,0.56945066799999999,5.6945066799999999e-08,56.945066799999999,1892045,0.1892045,-34.336588431172359,0.22413765011493406
41,4,uniform,10000000,1,25.208330374999999,2.5208330375000001e-06,2520.8330375,314,3.1399999999999998e-05,-34.691714552492449,0.22413765011493406
41,5,local1,10000000,1,0.57688464299999997,5.7688464299999994e-08,57.688464299999993,2004550,0.20045499999999999,-36.266266281854527,0.2179827038597166
41,5,uniform,10000000,1,25.206828278,2.5206828278000001e-06,2520.6828278000003,885,8.8499999999999996e-05,-32.452414733881277,0.2179827038597166
41,6,local1,10000000,1,0.60066146600000003,6.00661466e-08,60.066146600000003,2118750,0.21187500000000001,-28.660464900476157,0.20604071503902588
41,6,uniform,10000000,1,25.205766480000001,2.5205766480000001e-06,2520.5766480000002,1684,0.0001684,-27.663049626241147,0.20604071503902588
41,7,local1,10000000,1,0.588276892,5.8827689200000003e-08,58.827689200000002,2048400,0.20483999999999999,-38.883300465892511,0.22053942918393488
41,7,uniform,10000000,1,25.203596365999999,2.5203596365999998e-06,2520.3596365999997,37,3.7000000000000002e-06,-35.238336047602672,0.22053942918393488
41,8,local1,10000000,1,0.55348470999999999,5.5348471000000002e-08,55.348471000000004,1695600,0.16955999999999999,-35.471005930755844,0.2197239325204553
41,8,uniform,10000000,1,25.205459708999999,2.5205459709e-06,2520.5459709000002,125,1.2500000000000001e-05,-35.993983112666101,0.2197239325204553
41,9,local1,10000000,1,0.61428877299999995,6.1428877299999989e-08,61.428877299999989,2231780,0.22317799999999999,-35.358973169455652,0.22212530085875823
41,9,uniform,10000000,1,25.206617985000001,2.5206617985000001e-06,2520.6617985000003,1386,0.00013860000000000001,-32.00362930739211,0.22212530085875823
41,10,local1,10000000,1,0.57764292699999997,5.7764292699999999e-08,57.764292699999999,1963436,0.19634360000000001,-31.278152848692525,0.21256306622346
41,10,uniform,10000000,1,25.203614784999999,2.5203614785e-06,2520.3614785,495,4.9499999999999997e-05,-33.302110177740232,0.21256306622346
41,11,local1,10000000,1,0.58314643499999996,5.8314643499999994e-08,58.314643499999995,2021201,0.2021201,-38.577096972844657,0.21930859662045901
41,11,uniform,10000000,1,25.208623364000001,2.5208623363999999e-06,2520.8623364,876,8.7600000000000002e-05,-26.577779099970712,0.21930859662045901
41,12,local1,10000000,1,0.53119122200000002,5.3119122200000003e-08,53.119122200000007,1530635,0.15306349999999999,-43.630860999414232,0.21946254331658119
41,12,uniform,10000000,1,25.210468001999999,2.5210468001999998e-06,2521.0468001999998,288,2.8799999999999999e-05,-33.230399657731311,0.21946254331658119
41,13,local1,10000000,1,0.59885070500000004,5.9885070500000001e-08,59.885070499999998,2109466,0.21094660000000001,-30.776888578243941,0.21837520691735615
41,13,uniform,10000000,1,25.200354687000001,2.5200354687000002e-06,2520.0354687000004,512,5.1199999999999998e-05,-34.977774069576441,0.21837520691735615
41,14,local1,10000000,1,0.556406226,5.5640622599999997e-08,55.6406226,1721410,0.17214099999999999,-44.074012421599619,0.21736986967797822
41,14,uniform,10000000,1,25.209631549000001,2.5209631549000001e-06,2520.9631549000001,177,1.77e-05,-35.433170928672517,0.21736986967797822
41,15,local1,10000000,1,0.59800318699999999,5.98003187e-08,59.800318699999998,2138328,0.21383279999999999,-37.811288480634616,0.21769181514726879
41,15,uniform,10000000,1,25.212224154000001,2.5212224154000001e-06,2521.2224154,778,7.7799999999999994e-05,-29.150237299579199,0.21769181514726879
41,16,local1,10000000,1,0.60857720800000004,6.0857720800000005e-08,60.857720800000003,2162428,0.21624280000000001,-25.591371446756305,0.22095733908106549
41,16,uniform,10000000,1,25.202218904999999,2.5202218904999998e-06,2520.2218905,285,2.8500000000000002e-05,-33.025639961750691,0.22095733908106549
41,17,local1,10000000,1,0.58800535099999995,5.8800535099999994e-08,58.800535099999991,2087451,0.20874509999999999,-30.988027799515812,0.21123728664240321
41,17,uniform,10000000,1,25.203494698,2.5203494698000002e-06,2520.3494698000004,1077,0.0001077,-31.407505483836797,0.21123728664240321
41,18,local1,10000000,1,0.59578673000000004,5.9578673000000005e-08,59.578673000000002,2096551,0.20965510000000001,-31.139250054604542,0.21966044987725405
41,18,uniform,10000000,1,25.206298201999999,2.5206298202e-06,2520.6298201999998,449,4.49e-05,-27.647030721475339,0.21966044987725405
41,19,local1,10000000,1,0.58349184399999998,5.8349184400000001e-08,58.349184399999999,2001842,0.20018420000000001,-40.973448150202515,0.22249407966364212
41,19,uniform,10000000,1,25.205705267999999,2.5205705267999998e-06,2520.5705267999997,153,1.5299999999999999e-05,-34.656144371848406,0.22249407966364212
41,20,local1,10000000,1,0.623302668,6.2330266800000002e-08,62.330266800000004,2326694,0.2326694,-30.682434806702041,0.22717986865436904
41,20,uniform,10000000,1,25.203264983,2.5203264983e-06,2520.3264982999999,235,2.3499999999999999e-05,-35.114872480254846,0.22717986865436904
41,21,local1,10000000,1,0.597351568,5.9735156799999996e-08,59.735156799999999,2094463,0.2094463,-37.265756816184066,0.2204679675860218
41,21,uniform,10000000,1,25.201656448000001,2.5201656448000001e-06,2520.1656447999999,872,8.7200000000000005e-05,-35.431738877771245,0.2204679675860218
41,22,local1,10000000,1,0.60641486899999997,6.0641486899999992e-08,60.64148689999999,2193447,0.2193447,-30.929677721116406,0.22044422092668886
41,22,uniform,10000000,1,25.205121054999999,2.5205121054999998e-06,2520.5121055,599,5.9899999999999999e-05,-33.565239953009304,0.22044422092668886
41,23,local1,10000000,1,0.61448356599999998,6.14483566e-08,61.448356599999997,2237073,0.2237073,-36.230201848141064,0.21966146854758445
41,23,uniform,10000000,1,25.209021039,2.5209021039e-06,2520.9021038999999,184,1.84e-05,-33.099111038138815,0.21966146854758445
41,24,local1,10000000,1,0.58927768300000005,5.8927768300000007e-08,58.927768300000004,2095453,0.20954529999999999,-34.738906992404949,0.22729656865507883
41,24,uniform,10000000,1,25.206275013999999,2.5206275014000001e-06,2520.6275014000003,55,5.4999999999999999e-06,-33.882525595846225,0.22729656865507883
