n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
13,0,local1,10000000,1,0.37045274500000003,3.7045274500000002e-08,37.045274500000005,2216392,0.22163920000000001,-5.9940211003992605,0.40151356059879478
13,0,uniform,10000000,1,5.684792667,5.684792667e-07,568.47926670000004,181222,0.018122200000000002,-10.278129643329112,0.40151356059879478
13,1,local1,10000000,1,0.39266838300000001,3.9266838300000003e-08,39.266838300000003,2328054,0.2328054,-7.4150709938688912,0.3947018127732918
13,1,uniform,10000000,1,5.686740436,5.6867404360000005e-07,568.6740436,317482,0.031748199999999997,-8.2295795650307753,0.3947018127732918
13,2,local1,10000000,1,0.34783608500000002,3.4783608500000005e-08,34.783608500000007,1879600,0.18795999999999999,-9.0998184698510958,0.3535200462741388
13,2,uniform,10000000,1,5.6811029499999997,5.6811029499999998e-07,568.11029499999995,123382,0.012338200000000001,-12.424300039186246,0.3535200462741388
13,3,local1,10000000,1,0.43122630200000001,4.31226302e-08,43.122630199999996,2964319,0.29643190000000003,-8.1274023492774941,0.42628552876563175
13,3,uniform,10000000,1,5.6935521900000001,5.6935521899999998e-07,569.35521900000003,460499,0.046049899999999998,-10.465684182586459,0.42628552876563175
13,4,local1,10000000,1,0.31404057299999999,3.1404057300000001e-08,31.404057300000002,1454659,0.14546590000000001,-8.0548810352252325,0.35554622153112875
13,4,uniform,10000000,1,5.6794208509999997,5.6794208509999995e-07,567.94208509999999,77608,0.0077608,-9.0623653972317939,0.35554622153112875
13,5,local1,10000000,1,0.35708729500000003,3.5708729500000004e-08,35.708729500000004,1909834,0.1909834,-11.498625331375834,0.36653873556286082
13,5,uniform,10000000,1,5.6812207219999999,5.6812207219999997e-07,568.12207219999993,180823,0.018082299999999999,-7.9474923567925666,0.36653873556286082
13,6,local1,10000000,1,0.41550393499999999,4.1550393499999996e-08,41.550393499999998,2839067,0.28390670000000001,-10.542334481183211,0.4095582343119466
13,6,uniform,10000000,1,5.6875556950000004,5.6875556949999999e-07,568.75556949999998,410995,0.041099499999999997,-2.5628659156466944,0.4095582343119466
13,7,local1,10000000,1,0.39541992399999998,3.9541992399999995e-08,39.541992399999998,2561004,0.25610040000000001,-11.340322254590017,0.41516927051324382
13,7,uniform,10000000,1,5.6814706580000003,5.6814706580000002e-07,568.14706580000006,298043,0.029804299999999999,-4.5892606484230321,0.41516927051324382
13,8,local1,10000000,1,0.40677938499999999,4.0677938499999997e-08,40.677938499999996,2607858,0.26078580000000001,-9.0718778687112422,0.33298287137559779
13,8,uniform,10000000,1,5.6882586599999998,5.6882586599999998e-07,568.82586600000002,324191,0.032419099999999999,-6.7996062821628644,0.33298287137559779
