n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
35,0,local1,10000000,1,0.51670315099999997,5.1670315099999998e-08,51.670315099999996,1914920,0.191492,-32.421703128821001,0.23259290759746071
35,0,uniform,10000000,1,19.895187438000001,1.9895187438000003e-06,1989.5187438000003,2415,0.00024149999999999999,-26.97481492246207,0.23259290759746071
35,1,local1,10000000,1,0.53946263699999997,5.3946263699999998e-08,53.946263699999996,2130479,0.21304790000000001,-25.525872621818593,0.24379912035577864
35,1,uniform,10000000,1,19.891059761000001,1.9891059761000001e-06,1989.1059761000001,1071,0.0001071,-27.050304475750799,0.24379912035577864
35,2,local1,10000000,1,0.55770055500000004,5.5770055500000005e-08,55.770055500000005,2329073,0.23290730000000001,-32.036038834310951,0.22382298118593744
35,2,uniform,10000000,1,19.893833626999999,1.9893833626999998e-06,1989.3833626999999,1539,0.0001539,-29.956277748519003,0.22382298118593744
35,3,local1,10000000,1,0.484729674,4.84729674e-08,48.472967400000002,1669114,0.16691139999999999,-31.518907958603769,0.23940066183761299
35,3,uniform,10000000,1,19.896017433000001,1.9896017433000001e-06,1989.6017433,1268,0.00012679999999999999,-30.257510994639734,0.23940066183761299
35,4,local1,10000000,1,0.53547462300000004,5.3547462300000003e-08,53.547462300000007,2191291,0.21912909999999999,-30.368800606871059,0.22821842029162409
35,4,uniform,10000000,1,19.893051757999999,1.9893051757999997e-06,1989.3051757999997,884,8.8399999999999994e-05,-24.828624905020789,0.22821842029162409
35,5,local1,10000000,1,0.54454659500000002,5.4454659500000003e-08,54.454659500000005,2190537,0.21905369999999999,-31.550156373577725,0.23166929381021578
35,5,uniform,10000000,1,19.893329791999999,1.9893329791999998e-06,1989.3329791999997,3614,0.0003614,-25.455541660578653,0.23166929381021578
35,6,local1,10000000,1,0.56109699800000001,5.6109699800000004e-08,56.109699800000001,2334679,0.23346790000000001,-29.370888053485498,0.23477674680135116
35,6,uniform,10000000,1,19.896852073000002,1.9896852073e-06,1989.6852073,3961,0.00039609999999999998,-28.659174181911045,0.23477674680135116
35,7,local1,10000000,1,0.49719608999999998,4.9719608999999996e-08,49.719608999999998,1815739,0.18157390000000001,-25.923224633304905,0.2309567262798958
35,7,uniform,10000000,1,19.891348103999999,1.9891348103999999e-06,1989.1348103999999,1160,0.000116,-33.616508441029602,0.2309567262798958
35,8,local1,10000000,1,0.49838461899999997,4.9838461899999999e-08,49.838461899999999,1789964,0.1789964,-30.054282442345581,0.23515228612164907
35,8,uniform,10000000,1,19.892928855000001,1.9892928855000002e-06,1989.2928855000002,2272,0.00022719999999999999,-29.492587193915991,0.23515228612164907
35,9,local1,10000000,1,0.50187436500000004,5.0187436500000006e-08,50.187436500000004,1905575,0.19055749999999999,-38.191601447370672,0.24128226193536598
35,9,uniform,10000000,1,19.889641378,1.9889641377999999e-06,1988.9641377999999,227,2.27e-05,-31.830987016088848,0.24128226193536598
35,10,local1,10000000,1,0.55793446199999996,5.5793446199999995e-08,55.793446199999998,2296079,0.2296079,-27.601886080668912,0.24269743655800965
35,10,uniform,10000000,1,19.893797557999999,1.9893797558000001e-06,1989.3797558000001,1556,0.00015559999999999999,-25.153920943666247,0.24269743655800965
35,11,local1,10000000,1,0.53906435200000002,5.39064352e-08,53.906435199999997,2128082,0.2128082,-29.256328919068896,0.22594142443073159
35,11,uniform,10000000,1,19.891286858000001,1.9891286858000001e-06,1989.1286858000001,1467,0.00014669999999999999,-27.755798689393227,0.22594142443073159
35,12,local1,10000000,1,0.51500334400000003,5.1500334400000005e-08,51.500334400000007,1979367,0.19793669999999999,-29.584020148068891,0.23566417512188015
35,12,uniform,10000000,1,19.890870684999999,1.9890870685e-06,1989.0870685,2093,0.00020929999999999999,-26.823395092352733,0.23566417512188015
35,13,local1,10000000,1,0.56600945999999996,5.6600945999999994e-08,56.600945999999993,2319668,0.2319668,-29.067672272938506,0.23441398888756662
35,13,uniform,10000000,1,19.893945279,1.9893945279000002e-06,1989.3945279000002,3393,0.00033930000000000001,-24.804510969705156,0.23441398888756662
35,14,local1,10000000,1,0.48617904499999998,4.8617904499999997e-08,48.617904499999995,1737090,0.173709,-34.460756780341541,0.23574094987091529
35,14,uniform,10000000,1,19.891558073999999,1.9891558073999997e-06,1989.1558073999997,610,6.0999999999999999e-05,-26.318243455621229,0.23574094987091529
35,15,local1,10000000,1,0.54217257500000005,5.4217257500000003e-08,54.217257500000002,2145029,0.2145029,-30.352501551476252,0.22961320311671954
35,15,uniform,10000000,1,19.893517515999999,1.9893517516e-06,1989.3517515999999,3249,0.00032489999999999998,-20.417285926602244,0.22961320311671954
35,16,local1,10000000,1,0.50581980500000001,5.0581980499999998e-08,50.5819805,1927105,0.19271050000000001,-28.206640643224191,0.22203985363028669
35,16,uniform,10000000,1,19.889137996999999,1.9889137996999998e-06,1988.9137996999998,447,4.4700000000000002e-05,-30.264481207721964,0.22203985363028669
35,17,local1,10000000,1,0.49453206300000002,4.9453206300000004e-08,49.453206300000005,1747990,0.17479900000000001,-39.324790799712751,0.24258392451109512
35,17,uniform,10000000,1,19.890231195999998,1.9890231195999996e-06,1989.0231195999997,535,5.3499999999999999e-05,-30.163590022277273,0.24258392451109512
35,18,local1,10000000,1,0.503951492,5.0395149199999997e-08,50.395149199999999,1838343,0.18383430000000001,-26.986187500769283,0.22832722616085313
35,18,uniform,10000000,1,19.896179011000001,1.9896179011000003e-06,1989.6179011000004,30,3.0000000000000001e-06,-32.612388292892867,0.22832722616085313
35,19,local1,10000000,1,0.53538729299999999,5.3538729300000002e-08,53.5387293,2199334,0.2199334,-27.20309094094398,0.231788800085382
35,19,uniform,10000000,1,19.889073266,1.9889073265999998e-06,1988.9073265999998,597,5.9700000000000001e-05,-31.913194493432712,0.231788800085382
