n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
32,0,local1,10000000,1,0.57425328200000003,5.7425328200000002e-08,57.425328200000003,1942459,0.1942459,-22.234265061348243,0.24866616559139978
32,0,uniform,10000000,1,16.546624755,1.6546624754999999e-06,1654.6624754999998,1711,0.00017110000000000001,-28.702866015487423,0.24866616559139978
32,1,local1,10000000,1,0.62607538299999999,6.2607538300000004e-08,62.607538300000002,2435031,0.2435031,-27.203345538766118,0.24937046957060297
32,1,uniform,10000000,1,16.542941417000002,1.6542941417000001e-06,1654.2941417000002,5690,0.00056899999999999995,-21.025885304675423,0.24937046957060297
32,2,local1,10000000,1,0.61359185500000002,6.1359185499999998e-08,61.359185499999995,2321271,0.2321271,-29.100745819676895,0.25790536603059122
32,2,uniform,10000000,1,16.544476285999998,1.6544476285999998e-06,1654.4476285999997,5398,0.0005398,-21.925203381640845,0.25790536603059122
32,3,local1,10000000,1,0.60929156200000001,6.0929156200000003e-08,60.929156200000001,2254604,0.22546040000000001,-24.131926679709775,0.25159820524011328
32,3,uniform,10000000,1,16.542631181000001,1.6542631181000001e-06,1654.2631181000002,5904,0.00059040000000000004,-21.034710522041667,0.25159820524011328
32,4,local1,10000000,1,0.62158706200000002,6.2158706200000003e-08,62.158706200000005,2416372,0.2416372,-25.716924665257526,0.24789019225268788
32,4,uniform,10000000,1,16.542440627000001,1.6542440627e-06,1654.2440627000001,3350,0.00033500000000000001,-22.642085167957582,0.24789019225268788
32,5,local1,10000000,1,0.60220708899999997,6.0220708900000002e-08,60.220708900000005,2140055,0.21400549999999999,-26.561847919402354,0.23546677207550862
32,5,uniform,10000000,1,16.547031858,1.6547031858e-06,1654.7031858,2042,0.0002042,-28.702635288796163,0.23546677207550862
32,6,local1,10000000,1,0.64169937799999999,6.4169937799999995e-08,64.1699378,2517558,0.25175579999999997,-25.283007542765166,0.25564800116403724
32,6,uniform,10000000,1,16.547136092999999,1.6547136092999999e-06,1654.7136092999999,5989,0.00059889999999999997,-17.284207500322811,0.25564800116403724
32,7,local1,10000000,1,0.62840538800000001,6.2840538800000005e-08,62.840538800000004,2389071,0.23890710000000001,-23.55376312332633,0.24991999098303849
32,7,uniform,10000000,1,16.542621926999999,1.6542621926999999e-06,1654.2621927,7361,0.00073609999999999995,-28.13018124970392,0.24991999098303849
32,8,local1,10000000,1,0.60883106799999998,6.0883106799999991e-08,60.883106799999993,2233640,0.22336400000000001,-27.496668925041522,0.24524021902989201
32,8,uniform,10000000,1,16.543539330000002,1.6543539330000001e-06,1654.3539330000001,2401,0.00024010000000000001,-29.148738103346698,0.24524021902989201
32,9,local1,10000000,1,0.57529328800000001,5.7529328800000004e-08,57.529328800000002,1956635,0.19566349999999999,-30.65082964436542,0.24300597635615062
32,9,uniform,10000000,1,16.542486512,1.6542486511999999e-06,1654.2486511999998,1222,0.00012219999999999999,-32.334986416509537,0.24300597635615062
32,10,local1,10000000,1,0.60361195700000003,6.0361195700000005e-08,60.361195700000003,2196314,0.2196314,-23.975303401164563,0.24657210952823314
32,10,uniform,10000000,1,16.543670451000001,1.6543670451000001e-06,1654.3670451,3302,0.0003302,-23.454721229508298,0.24657210952823314
32,11,local1,10000000,1,0.56458551800000001,5.6458551800000002e-08,56.458551800000002,1876409,0.1876409,-32.172801658308046,0.24203784693287539
32,11,uniform,10000000,1,16.541006842000002,1.6541006842000001e-06,1654.1006842000002,1575,0.00015750000000000001,-29.294733992715482,0.24203784693287539
32,12,local1,10000000,1,0.58909127699999997,5.8909127699999998e-08,58.909127699999999,2061743,0.2061743,-26.561174383860006,0.24072155358866185
32,12,uniform,10000000,1,16.542660759,1.6542660759000001e-06,1654.2660759,2863,0.00028630000000000002,-26.489940310354395,0.24072155358866185
32,13,local1,10000000,1,0.56018526999999996,5.6018526999999998e-08,56.018526999999999,1887231,0.1887231,-24.649087741455645,0.23155803876926698
32,13,uniform,10000000,1,16.546425549999999,1.6546425549999999e-06,1654.6425549999999,1114,0.0001114,-27.866521306663351,0.23155803876926698
32,14,local1,10000000,1,0.60271099800000005,6.02710998e-08,60.271099800000002,2168137,0.2168137,-30.312504584018658,0.25012845028115754
32,14,uniform,10000000,1,16.543432896999999,1.6543432896999999e-06,1654.3432896999998,3738,0.00037379999999999998,-28.195867978954603,0.25012845028115754
32,15,local1,10000000,1,0.58116540299999997,5.8116540299999994e-08,58.116540299999997,1985269,0.19852690000000001,-31.271732205255969,0.24118069971489955
32,15,uniform,10000000,1,16.545485459999998,1.6545485459999999e-06,1654.548546,2853,0.0002853,-26.432180158201771,0.24118069971489955
32,16,local1,10000000,1,0.61761736899999997,6.1761736899999998e-08,61.761736899999995,2251392,0.22513920000000001,-25.951843284196912,0.26026736361592773
32,16,uniform,10000000,1,16.542911016000001,1.6542911016000002e-06,1654.2911016000003,3832,0.00038319999999999999,-26.643551144654992,0.26026736361592773
32,17,local1,10000000,1,0.55950877700000001,5.5950877699999998e-08,55.950877699999999,1801793,0.18017929999999999,-32.318234243217219,0.25133751993899867
32,17,uniform,10000000,1,16.544836737000001,1.6544836737000001e-06,1654.4836737000001,2469,0.00024689999999999998,-27.542400175019836,0.25133751993899867
32,18,local1,10000000,1,0.53290254299999995,5.3290254299999996e-08,53.290254299999994,1654591,0.1654591,-25.789119212349167,0.24909706532022796
32,18,uniform,10000000,1,16.548006019999999,1.6548006019999999e-06,1654.8006019999998,326,3.26e-05,-26.650143582591369,0.24909706532022796
32,19,local1,10000000,1,0.58386071299999998,5.8386071299999995e-08,58.386071299999998,2086768,0.2086768,-27.549989168577657,0.25047047049997551
32,19,uniform,10000000,1,16.541736087,1.6541736087000001e-06,1654.1736087000002,312,3.1199999999999999e-05,-25.438246643389629,0.25047047049997551
32,20,local1,10000000,1,0.58197146899999996,5.8197146899999997e-08,58.1971469,1995983,0.19959830000000001,-27.879251854016385,0.24457081846364387
32,20,uniform,10000000,1,16.548201982999998,1.6548201982999998e-06,1654.8201982999999,2244,0.00022440000000000001,-26.615271364195426,0.24457081846364387
32,21,local1,10000000,1,0.61234680399999997,6.1234680400000003e-08,61.234680400000002,2255923,0.2255923,-25.096967691320053,0.24271007833817226
32,21,uniform,10000000,1,16.54310809,1.6543108090000001e-06,1654.3108090000001,4335,0.00043350000000000002,-20.493038113971544,0.24271007833817226
32,22,local1,10000000,1,0.61051107900000001,6.1051107899999995e-08,61.051107899999998,2312533,0.23125329999999999,-21.441405611315105,0.24562595851153268
32,22,uniform,10000000,1,16.542793582000002,1.6542793582000002e-06,1654.2793582000002,3707,0.00037070000000000001,-17.485030257996513,0.24562595851153268
32,23,local1,10000000,1,0.58318604100000004,5.8318604100000002e-08,58.318604100000002,2051423,0.2051423,-24.690634205377521,0.25811545586460666
32,23,uniform,10000000,1,16.546178007999998,1.6546178007999997e-06,1654.6178007999997,351,3.5099999999999999e-05,-31.096143105167673,0.25811545586460666
32,24,local1,10000000,1,0.59398430000000002,5.9398430000000005e-08,59.398430000000005,2133366,0.21333659999999999,-24.728055563678208,0.24370009586903466
32,24,uniform,10000000,1,16.545955962000001,1.6545955962000001e-06,1654.5955962,138,1.38e-05,-29.667513092323453,0.24370009586903466
32,25,local1,10000000,1,0.59419330599999998,5.94193306e-08,59.419330600000002,2138931,0.2138931,-21.368081608311986,0.23747711071135949
32,25,uniform,10000000,1,16.545937699,1.6545937699e-06,1654.5937699000001,2033,0.00020330000000000001,-24.997477944845418,0.23747711071135949
32,26,local1,10000000,1,0.62150714399999996,6.21507144e-08,62.150714399999998,2311201,0.23112009999999999,-15.509338756014671,0.24400105406422135
32,26,uniform,10000000,1,16.547754615999999,1.6547754615999999e-06,1654.7754616,6197,0.00061970000000000005,-27.022363790204739,0.24400105406422135
32,27,local1,10000000,1,0.56913979199999998,5.6913979199999996e-08,56.913979199999993,1892028,0.1892028,-27.85897021862046,0.25199502363501014
32,27,uniform,10000000,1,16.548130994000001,1.6548130994000001e-06,1654.8130994000001,2928,0.00029280000000000002,-18.123009505187287,0.25199502363501014
32,28,local1,10000000,1,0.61155058100000004,6.1155058100000001e-08,61.155058099999998,2253338,0.2253338,-29.759991026660028,0.24293299531751456
32,28,uniform,10000000,1,16.546824855000001,1.6546824855000001e-06,1654.6824855,4404,0.00044040000000000003,-18.900639024608427,0.24293299531751456
32,29,local1,10000000,1,0.62637870399999995,6.2637870399999993e-08,62.63787039999999,2339574,0.23395740000000001,-27.953811568141145,0.24644107545119082
32,29,uniform,10000000,1,16.544117683,1.6544117682999999e-06,1654.4117682999999,5979,0.00059789999999999995,-22.308369805811193,0.24644107545119082
32,30,local1,10000000,1,0.60348520400000005,6.0348520400000006e-08,60.348520400000005,2195568,0.2195568,-24.964728566610571,0.23665217221920054
32,30,uniform,10000000,1,16.545681498,1.6545681497999999e-06,1654.5681497999999,2233,0.00022330000000000001,-27.183125523577001,0.23665217221920054
32,31,local1,10000000,1,0.61095282399999995,6.109528239999999e-08,61.095282399999988,2243924,0.22439239999999999,-24.426031841040835,0.23971168154137912
32,31,uniform,10000000,1,16.546401372999998,1.6546401372999998e-06,1654.6401372999999,2405,0.00024049999999999999,-27.302089726063961,0.23971168154137912
32,32,local1,10000000,1,0.55538071300000003,5.5538071300000002e-08,55.538071299999999,1857438,0.18574379999999999,-28.075397514082955,0.24842432315245716
32,32,uniform,10000000,1,16.541386098,1.6541386098000001e-06,1654.1386098,414,4.1399999999999997e-05,-33.2844762454557,0.24842432315245716
32,33,local1,10000000,1,0.61276471499999996,6.1276471500000002e-08,61.2764715,2247863,0.22478629999999999,-28.020271919130327,0.23964663621176405
32,33,uniform,10000000,1,16.543267432,1.6543267432000001e-06,1654.3267432,3730,0.00037300000000000001,-19.000581339080401,0.23964663621176405
32,34,local1,10000000,1,0.57296867900000004,5.7296867900000003e-08,57.296867900000002,1951337,0.19513369999999999,-29.227801049326029,0.24692673503664317
32,34,uniform,10000000,1,16.542234539999999,1.6542234539999999e-06,1654.2234539999999,620,6.2000000000000003e-05,-30.185046973187255,0.24692673503664317
32,35,local1,10000000,1,0.54520303999999997,5.4520303999999999e-08,54.520303999999996,1776654,0.1776654,-27.310365525074374,0.24330686660652107
32,35,uniform,10000000,1,16.540485165,1.6540485164999999e-06,1654.0485165,2341,0.0002341,-28.437799087140299,0.24330686660652107
32,36,local1,10000000,1,0.52679483100000002,5.2679483100000005e-08,52.679483100000006,1554311,0.15543109999999999,-30.613739928655502,0.25513022968532839
32,36,uniform,10000000,1,16.545028688999999,1.6545028688999998e-06,1654.5028688999998,466,4.6600000000000001e-05,-31.782159462449798,0.25513022968532839
32,37,local1,10000000,1,0.62503801000000003,6.2503801000000008e-08,62.50380100000001,2414940,0.24149399999999999,-25.660131664376429,0.25281863978584218
32,37,uniform,10000000,1,16.543168834999999,1.6543168834999999e-06,1654.3168834999999,5444,0.00054440000000000001,-25.894479549783419,0.25281863978584218
32,38,local1,10000000,1,0.561733496,5.6173349600000002e-08,56.173349600000002,1896018,0.18960179999999999,-30.306242716465626,0.25397004914709859
32,38,uniform,10000000,1,16.542262872999999,1.6542262872999999e-06,1654.2262873,1442,0.00014420000000000001,-30.194416308440964,0.25397004914709859
32,39,local1,10000000,1,0.61486693800000003,6.1486693799999998e-08,61.486693799999998,2270946,0.22709460000000001,-20.888493985881269,0.2441410001195938
32,39,uniform,10000000,1,16.548916008999999,1.6548916008999999e-06,1654.8916009,5676,0.00056760000000000003,-23.215440601290155,0.2441410001195938
32,40,local1,10000000,1,0.56730629499999996,5.6730629499999993e-08,56.730629499999992,1946280,0.194628,-23.094481289171373,0.25657100578501607
32,40,uniform,10000000,1,16.545450286000001,1.6545450286000001e-06,1654.5450286,3561,0.00035609999999999998,-26.854168340954441,0.25657100578501607
32,41,local1,10000000,1,0.58180011700000001,5.8180011700000001e-08,58.180011700000001,2007995,0.20079949999999999,-28.263281278548043,0.24395684657395905
32,41,uniform,10000000,1,16.543689633,1.6543689633e-06,1654.3689632999999,4537,0.00045370000000000002,-18.825870990676197,0.24395684657395905
32,42,local1,10000000,1,0.60613193099999996,6.0613193099999995e-08,60.613193099999997,2185760,0.21857599999999999,-25.279007941074244,0.25513698206821056
32,42,uniform,10000000,1,16.542648036999999,1.6542648037e-06,1654.2648036999999,4528,0.0004528,-25.848361598380706,0.25513698206821056
32,43,local1,10000000,1,0.62295557400000001,6.2295557400000005e-08,62.295557400000007,2360893,0.2360893,-27.356079449307092,0.26755194604834509
32,43,uniform,10000000,1,16.539693763999999,1.6539693763999999e-06,1653.9693763999999,7777,0.00077769999999999998,-16.052342072216934,0.26755194604834509
32,44,local1,10000000,1,0.55962816500000001,5.5962816499999999e-08,55.962816500000002,1795805,0.1795805,-30.694821880322916,0.24291897155716213
