n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
50,0,local1,10000000,1,0.64647168499999996,6.4647168499999999e-08,64.647168499999992,2029536,0.20295360000000001,-42.041223644000553,0.19841659634648645
50,0,uniform,10000000,1,34.067273194999999,3.4067273194999998e-06,3406.7273194999998,58,5.8000000000000004e-06,-42.689962553076874,0.19841659634648645
50,1,local1,10000000,1,0.65101962599999996,6.5101962600000001e-08,65.101962600000007,2003290,0.20032900000000001,-41.05349651163133,0.19632114493041519
50,1,uniform,10000000,1,34.064053977,3.4064053977e-06,3406.4053976999999,294,2.94e-05,-40.929965416483171,0.19632114493041519
50,2,local1,10000000,1,0.632502487,6.3250248700000005e-08,63.250248700000007,1892662,0.1892662,-43.749878644598802,0.20131367375888426
50,2,uniform,10000000,1,34.066347348000001,3.4066347347999999e-06,3406.6347347999999,25,2.5000000000000002e-06,-38.205631434448513,0.20131367375888426
50,3,local1,10000000,1,0.66677186700000002,6.66771867e-08,66.677186700000007,2147586,0.21475859999999999,-46.836732740685669,0.19845693375233006
50,3,uniform,10000000,1,34.058076120999999,3.4058076121e-06,3405.8076120999999,381,3.8099999999999998e-05,-34.077624283377112,0.19845693375233006
50,4,local1,10000000,1,0.65116576800000003,6.5116576799999997e-08,65.116576800000004,2001150,0.20011499999999999,-40.392104564547324,0.19634234439401865
50,4,uniform,10000000,1,34.066856371999997,3.4066856371999995e-06,3406.6856371999997,125,1.2500000000000001e-05,-34.877732123569231,0.19634234439401865
50,5,local1,10000000,1,0.65856207600000005,6.5856207600000011e-08,65.856207600000005,2065080,0.206508,-39.818305589601451,0.19700566180259396
50,5,uniform,10000000,1,34.063185259000001,3.4063185259000001e-06,3406.3185259000002,166,1.66e-05,-36.081837126704485,0.19700566180259396
50,6,local1,10000000,1,0.65642824499999997,6.56428245e-08,65.642824500000003,1987715,0.19877149999999999,-39.570712810646363,0.1986713547170173
50,6,uniform,10000000,1,34.055702122,3.4055702122000001e-06,3405.5702122000002,364,3.6399999999999997e-05,-37.759039051492721,0.1986713547170173
50,7,local1,10000000,1,0.67098395899999996,6.7098395899999995e-08,67.0983959,2175911,0.21759110000000001,-38.551577328017203,0.19500459730473421
50,7,uniform,10000000,1,34.066522714999998,3.4066522714999999e-06,3406.6522714999996,442,4.4199999999999997e-05,-37.215609189630705,0.19500459730473421
50,8,local1,10000000,1,0.65327425400000005,6.53274254e-08,65.327425399999996,2043176,0.20431759999999999,-46.394356465861328,0.19805849412864718
50,8,uniform,10000000,1,34.065195185,3.4065195184999999e-06,3406.5195184999998,137,1.3699999999999999e-05,-36.909994659058064,0.19805849412864718
