n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
25,0,local1,10000000,1,0.744802352,7.4480235199999998e-08,74.480235199999996,2283711,0.22837109999999999,-20.737746380540756,0.2869088723364579
25,0,uniform,10000000,1,19.746633839000001,1.9746633839000002e-06,1974.6633839000001,16096,0.0016096000000000001,-14.026583287651652,0.2869088723364579
25,1,local1,10000000,1,0.77254836000000005,7.7254836e-08,77.254835999999997,2452670,0.24526700000000001,-16.283296080355939,0.29347715379970957
25,1,uniform,10000000,1,19.737980254,1.9737980253999999e-06,1973.7980253999999,19430,0.0019430000000000001,-21.648177243376473,0.29347715379970957
25,2,local1,10000000,1,0.72758783100000002,7.2758783099999999e-08,72.758783100000002,2217080,0.22170799999999999,-19.763377275735223,0.27916729530635764
25,2,uniform,10000000,1,19.755693551,1.9755693551e-06,1975.5693550999999,4159,0.00041590000000000003,-21.312325901666718,0.27916729530635764
25,3,local1,10000000,1,0.707004313,7.0700431300000005e-08,70.700431300000005,2093699,0.2093699,-22.500696428054521,0.29055704180593661
25,3,uniform,10000000,1,19.740156439,1.9740156438999998e-06,1974.0156438999998,10287,0.0010287,-17.259204997168318,0.29055704180593661
25,4,local1,10000000,1,0.69019929000000002,6.9019928999999999e-08,69.019929000000005,1941539,0.19415389999999999,-17.550297730327436,0.29436269860211423
25,4,uniform,10000000,1,19.755647689,1.9755647688999999e-06,1975.5647689,13808,0.0013808,-10.987922410191763,0.29436269860211423
25,5,local1,10000000,1,0.70532641399999996,7.0532641400000002e-08,70.532641400000003,2141292,0.21412919999999999,-20.448958416703142,0.27237566056465862
25,5,uniform,10000000,1,19.754125118000001,1.9754125118000001e-06,1975.4125118000002,12925,0.0012925,-18.04128364763325,0.27237566056465862
25,6,local1,10000000,1,0.69120607099999998,6.91206071e-08,69.120607100000001,1960019,0.19600190000000001,-22.182820043470485,0.2809162966692173
25,6,uniform,10000000,1,19.753254092999999,1.9753254092999997e-06,1975.3254092999998,5709,0.00057090000000000005,-24.218092292302337,0.2809162966692173
25,7,local1,10000000,1,0.70739946399999998,7.0739946399999993e-08,70.739946399999994,2147945,0.2147945,-23.921321147237176,0.28327554091773288
25,7,uniform,10000000,1,19.753509343000001,1.9753509343000003e-06,1975.3509343000003,11832,0.0011831999999999999,-22.280760982064173,0.28327554091773288
25,8,local1,10000000,1,0.60415511899999996,6.0415511899999998e-08,60.415511899999998,1504766,0.15047659999999999,-26.467001370605839,0.27285141732231849
25,8,uniform,10000000,1,19.749033784000002,1.9749033784e-06,1974.9033784000001,5454,0.00054540000000000003,-25.822907214027012,0.27285141732231849
25,9,local1,10000000,1,0.75145483599999996,7.5145483599999991e-08,75.145483599999991,2433784,0.24337839999999999,-11.811992660247888,0.29235482882785202
25,9,uniform,10000000,1,19.753883108,1.9753883108000001e-06,1975.3883108,15353,0.0015353000000000001,-16.483236846164843,0.29235482882785202
25,10,local1,10000000,1,0.70348718200000004,7.0348718200000003e-08,70.348718200000008,2097269,0.20972689999999999,-22.854237691585293,0.26832172701873613
25,10,uniform,10000000,1,19.748330504999998,1.9748330504999997e-06,1974.8330504999997,14665,0.0014664999999999999,-21.132483559334993,0.26832172701873613
25,11,local1,10000000,1,0.73472992699999995,7.3472992700000002e-08,73.472992700000006,2234939,0.2234939,-17.457594144995426,0.27987857280389544
25,11,uniform,10000000,1,19.755399336,1.9755399335999999e-06,1975.5399335999998,19583,0.0019583000000000001,-24.06326939763883,0.27987857280389544
25,12,local1,10000000,1,0.59997921399999998,5.9997921400000004e-08,59.997921400000003,1464736,0.14647360000000001,-22.535930185689018,0.27558993741977472
25,12,uniform,10000000,1,19.751421742000002,1.9751421742e-06,1975.1421742,4815,0.00048149999999999999,-25.060145279980333,0.27558993741977472
