n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
21,0,local1,10000000,1,0.58139763099999997,5.8139763099999999e-08,58.139763099999996,1770071,0.1770071,-20.98085193470682,0.31597376503822283
21,0,uniform,10000000,1,14.959358861,1.4959358861e-06,1495.9358861000001,10737,0.0010736999999999999,-22.032071864791511,0.31597376503822283
21,1,local1,10000000,1,0.67607804199999999,6.7607804199999999e-08,67.607804200000004,2329111,0.23291110000000001,-19.501438613754924,0.28824604683227295
21,1,uniform,10000000,1,14.955103575000001,1.4955103575000001e-06,1495.5103575000001,44982,0.0044981999999999999,-10.087796054342332,0.28824604683227295
21,2,local1,10000000,1,0.61319914499999995,6.131991449999999e-08,61.319914499999989,2008023,0.20080229999999999,-21.380852047760857,0.31210541502464989
21,2,uniform,10000000,1,15.015847486,1.5015847486000001e-06,1501.5847486,5883,0.00058830000000000004,-23.742615436127664,0.31210541502464989
21,3,local1,10000000,1,0.62997630100000002,6.2997630099999996e-08,62.997630099999995,1939494,0.19394939999999999,-14.74768797627631,0.31861300435242895
21,3,uniform,10000000,1,15.016510091000001,1.5016510091000001e-06,1501.6510091,25182,0.0025182,-19.879891927342424,0.31861300435242895
21,4,local1,10000000,1,0.74025052400000002,7.40250524e-08,74.025052399999993,2754225,0.27542250000000001,-15.394645772928477,0.27832927546638647
21,4,uniform,10000000,1,14.994299003,1.4994299003e-06,1499.4299003000001,103058,0.0103058,-11.721910472472276,0.27832927546638647
21,5,local1,10000000,1,0.611204258,6.1120425800000001e-08,61.1204258,2128037,0.21280370000000001,-15.664975931890531,0.30799044539272835
21,5,uniform,10000000,1,14.981536887000001,1.4981536887000001e-06,1498.1536887000002,10532,0.0010532,-19.298809186844444,0.30799044539272835
21,6,local1,10000000,1,0.55756974999999998,5.5756974999999996e-08,55.756974999999997,1651103,0.16511029999999999,-19.269880833363402,0.28922736920521264
21,6,uniform,10000000,1,15.010484239,1.5010484238999999e-06,1501.0484239,5169,0.00051690000000000004,-23.131967759243754,0.28922736920521264
21,7,local1,10000000,1,0.66742327400000001,6.6742327400000005e-08,66.742327400000008,2262697,0.22626969999999999,-15.994004763276191,0.31683142221846644
21,7,uniform,10000000,1,14.976407475,1.4976407475000001e-06,1497.6407475000001,36269,0.0036269000000000002,-16.351412971479927,0.31683142221846644
21,8,local1,10000000,1,0.67005840100000003,6.7005840100000008e-08,67.005840100000015,2355153,0.23551530000000001,-20.104181920224793,0.30551337259906453
21,8,uniform,10000000,1,14.978226300999999,1.4978226300999999e-06,1497.8226301,64868,0.0064868,-15.742362563503995,0.30551337259906453
21,9,local1,10000000,1,0.657554262,6.5755426199999996e-08,65.755426200000002,2206019,0.22060189999999999,-20.383648536914592,0.2944780397601362
21,9,uniform,10000000,1,14.982266625999999,1.4982266625999999e-06,1498.2266625999998,36651,0.0036651000000000001,-19.000490183850069,0.2944780397601362
21,10,local1,10000000,1,0.68462799100000005,6.8462799100000003e-08,68.462799099999998,2305251,0.23052510000000001,-16.715789557032519,0.300882794540895
